id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|CAF	B_cell|Endo	B_cell|Macro	B_cell|NK	B_cell|T_cell	B_cell|malignant_cell	CAF|B_cell	CAF|CAF	CAF|Endo	CAF|Macro	CAF|NK	CAF|T_cell	CAF|malignant_cell	Endo|B_cell	Endo|CAF	Endo|Endo	Endo|Macro	Endo|NK	Endo|T_cell	Endo|malignant_cell	Macro|B_cell	Macro|CAF	Macro|Endo	Macro|Macro	Macro|NK	Macro|T_cell	Macro|malignant_cell	NK|B_cell	NK|CAF	NK|Endo	NK|Macro	NK|NK	NK|T_cell	NK|malignant_cell	T_cell|B_cell	T_cell|CAF	T_cell|Endo	T_cell|Macro	T_cell|NK	T_cell|T_cell	T_cell|malignant_cell	malignant_cell|B_cell	malignant_cell|CAF	malignant_cell|Endo	malignant_cell|Macro	malignant_cell|NK	malignant_cell|T_cell	malignant_cell|malignant_cell
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.122									0.516	0.34				0.347																														0.495	0.319				0.327
CPI-SS00046DCF3	EPHA4_EFNB1	simple:P54764	simple:P98172	EPHA4	EFNB1	False	True	False	curated	False	0.122									0.12	0.175						0.16	0.214													0.109	0.164																		
CPI-SC011F01833	COL1A2_a10b1 complex	simple:P08123	complex:a10b1 complex	COL1A2		True	False	False	curated	True	0.122									1.029	1.059				1.157																														0.172	0.201				0.299
CPI-SS064C772FE	CCR10_CCL28	simple:P46092	simple:Q9NRJ3	CCR10	CCL28	True	True	False	guidetopharmacology.org	False	0.122																																											0.244		0.229	0.224	0.243	0.233	0.278
CPI-SC01F1F24AA	COL9A3_a2b1 complex	simple:Q14050	complex:a2b1 complex	COL9A3		True	False	False	curated	True	0.122																																											0.198	0.206	0.32		0.189	0.22	0.219
CPI-SS02AFCED82	EPHA2_EFNA5	simple:P29317	simple:P52803	EPHA2	EFNA5	False	True	False	curated	False	0.122									0.388	0.408				0.297		0.51	0.531				0.419																												
CPI-SS0BEAB521F	EPHA3_EFNA5	simple:P29320	simple:P52803	EPHA3	EFNA5	True	True	False	curated	False	0.122									0.434	0.454				0.343																														0.365	0.386				0.274
CPI-SC09C0B5D08	COL4A5_a2b1 complex	simple:P29400	complex:a2b1 complex	COL4A5		True	False	False	curated	True	0.122										0.249			0.149	0.148			0.249			0.148	0.148																												
CPI-SS0C56C483F	WNT5A_ANTXR1	simple:P41221	simple:Q9H6X2	WNT5A	ANTXR1	True	False	True	InnateDB-All	False	0.122									0.425					0.145		0.465					0.185		0.401					0.121																					
CPI-SC01833C7FC	PLA2G2A_a4b1 complex	simple:P14555	complex:a4b1 complex	PLA2G2A		True	False	False	curated	True	0.122								0.771	0.54		0.755	0.805	0.837	0.477																																			
CPI-SC056BF6CBB	TNC_a9b1 complex	simple:P24821	complex:a9b1 complex	TNC		True	False	False	curated	True	0.122			0.186							0.54							0.367														0.164							0.181							0.353				
CPI-SS0D954EA1C	PDGFRB_PDGFD	simple:P09619	simple:Q9GZP0	PDGFRB	PDGFD	True	True	False	curated	False	0.122									0.67	0.712		0.604																		0.257	0.299		0.191																
CPI-SC0F9DD28F3	JAM3_aMb2 complex	simple:Q9BX67	complex:aMb2 complex	JAM3		True	False	False	curated	True	0.122											0.72	0.583						0.524	0.387																											0.569	0.431		
CPI-SS0CCCF7C69	PLXNB1_SEMA4D	simple:O43157	simple:Q92854	PLXNB1	SEMA4D	True	True	True	curated	False	0.122												0.459	0.426						0.454	0.421																											0.511	0.478	
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	DLL1	NOTCH4	False	False	True	curated	False	0.122										0.409	0.112			0.103			0.523	0.226			0.217																												
CPI-CS0D35E69F6	BMR1A_ACR2A_BMP7	complex:BMR1A_ACR2A	simple:P18075		BMP7	True	True	False	curated	False	0.122								0.342				0.342	0.35																														0.302				0.302	0.31	
CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	EFNA1	EPHA4	True	False	True	curated	False	0.122																0.571	0.611		0.56																									0.274	0.314		0.264		
CPI-SC0EC572716	COL4A5_a1b1 complex	simple:P29400	complex:a1b1 complex	COL4A5		True	False	False	curated	True	0.122									0.21	0.339			0.124			0.21	0.339			0.124																													
CPI-SC0B6F1A278	COL4A1_a10b1 complex	simple:P02462	complex:a10b1 complex	COL4A1		True	False	False	curated	True	0.122									0.328	0.357				0.455		0.798	0.827				0.925																												
CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	TNFRSF11B	TNFSF10	True	False	False	curated	False	0.122								0.289	0.38	0.792	0.577	0.441	0.309																																				
CPI-SC0A2FE9693	LAMC1_a7b1 complex	simple:P11047	complex:a7b1 complex	LAMC1		True	False	False	curated	True	0.122									0.524					0.657		0.453					0.587																							0.295					0.428
CPI-CS05EAF93CC	BMPR1A_BMPR2_BMP7	complex:BMPR1A_BMPR2	simple:P18075		BMP7	True	True	False	curated	False	0.122								0.342				0.342	0.35																														0.302				0.302	0.31	
CPI-SS02928C71A	PDGFB_LRP1	simple:P01127	simple:Q07954	PDGFB	LRP1	True	False	True	I2D,InnateDB-All	False	0.122																0.798		0.649			0.38		0.682		0.533			0.265																					
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	0.122									0.89	0.283	0.357					0.848	0.241	0.315																															
CPI-CS0E5D1ECCE	PlexinA1_complex3_SEMA3A	complex:PlexinA1_complex3	simple:Q14563		SEMA3A	True	True	False	curated	False	0.122									0.671	0.876						0.447	0.652						0.445	0.65																									
CPI-SS0EFE0B07A	CXCL12_CXCR3	simple:P48061	simple:P49682	CXCL12	CXCR3	True	False	True	guidetopharmacology.org	False	0.122												1.01	1.084						0.403	0.477						0.477	0.551																						
CPI-SS0F9B3B259	TNFSF13_TNFRSF1A	simple:O75888	simple:P19438	TNFSF13	TNFRSF1A	True	False	True	I2D,InnateDB-All	False	0.122																							1.105	1.14	1.042	0.866	0.7	0.912																					
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	curated	False	0.122									0.244	0.202						0.348	0.306						0.437	0.395																									
CPI-SS00086659A	TNFRSF6B_FASLG	simple:O95407	simple:P48023	TNFRSF6B	FASLG	True	False	False	curated	False	0.122												0.546	0.344						0.511	0.309																											0.41	0.208	
CPI-SS09CCC0451	INHBE_ACVR2B	simple:P58166	simple:Q13705	INHBE	ACVR2B	True	False	True	curated	False	0.122							0.139														0.116							0.102							0.126							0.134							0.095
CPI-SS04A8E4200	ADIPOQ_CD200R1	simple:Q15848	simple:Q8TD46	ADIPOQ	CD200R1	True	False	True	IMEx,IntAct	False	0.122				0.215		0.248																										0.241		0.274					0.218		0.251								
CPI-SS08083B141	NRP1_SEMA3A	simple:O14786	simple:Q14563	NRP1	SEMA3A	True	True	False	curated	False	0.122									0.671	0.876						0.447	0.652						0.445	0.65																									
CPI-SC0F94B2CF9	COL16A1_a10b1 complex	simple:Q07092	complex:a10b1 complex	COL16A1		True	False	False	curated	True	0.122									0.421	0.45				0.548																														0.267	0.296				0.394
CPI-SS0A9E884E0	CD200_CD200R1	simple:P41217	simple:Q8TD46	CD200	CD200R1	True	False	True	curated	False	0.122						0.246												0.581		0.613																					0.222					0.226		0.259	
CPI-SS085195142	TYRO3_GAS6	simple:Q06418	simple:Q14393	TYRO3	GAS6	True	True	False	guidetopharmacology.org	False	0.122									0.35	0.481	0.271																																	0.429	0.559	0.349			
CPI-SS032E9A219	CX3CR1_CX3CL1	simple:P49238	simple:P78423	CX3CR1	CX3CL1	True	True	True	curated	False	0.122																							0.183	0.32				0.224		0.378	0.515				0.419														
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	CCL3	CCR5	True	False	True	curated	False	0.122																									0.898		0.886					0.834		0.822					0.481		0.47								
CPI-SS0B01D306C	CCL5_CCR5	simple:P13501	simple:P51681	CCL5	CCR5	True	False	True	curated	False	0.122				1.117		1.105																										1.324		1.312					1.275		1.263								
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	CCL4	CCR5	True	False	True	curated	False	0.122																									0.688		0.676					1.189		1.177					0.746		0.735								
CPI-CS06D50EBF8	OSMR_OSM	complex:OSMR	simple:P13725		OSM	True	True	False	curated	False	0.143				0.335							0.642							0.534							0.255							0.328							0.338							0.267			
CPI-SC01195CB48	TNC_a8b1 complex	simple:P24821	complex:a8b1 complex	TNC		True	False	False	curated	True	0.143		0.191							0.545							0.372							0.164							0.169							0.186							0.358					
CPI-SS07833475A	FGFR1_FGF7	simple:P11362	simple:P21781	FGFR1	FGF7	True	True	False	I2D	False	0.143		0.542							0.926							0.75							0.529							0.56							0.572							0.757					
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	CD99	PILRA	True	False	True	curated	False	0.143				1.053							1.49							1.451							1.22							1.301							1.327							1.4			
CPI-SS093922D5A	CCL16_CCR2	simple:O15467	simple:P41597	CCL16	CCR2	True	False	True	curated	False	0.143				0.498							0.357							0.461							0.392							0.49							0.494							0.324			
CPI-SS027CDEA08	NOTCH2_DLL4	simple:Q04721	simple:Q9NR61	NOTCH2	DLL4	False	True	False	curated	False	0.143			0.441							0.578							0.27							0.473							0.408							0.283							0.473				
CPI-SS012B7C21D	NOTCH1_DLL4	simple:P46531	simple:Q9NR61	NOTCH1	DLL4	False	True	False	curated	False	0.143			0.233							0.255							0.54							0.284							0.466							0.31							0.27				
CPI-SS067BA9202	LAIR1_LILRB4	simple:Q6GTX8	simple:Q8NHJ6	LAIR1	LILRB4	False	True	True	curated	False	0.143				1.247							0.86							0.946							1.411							1.219							1.181							0.853			
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.143								0.682	0.587	0.604	0.612	0.639	0.679	0.562																																			
CPI-SS0C2561156	WNT2_FZD4	simple:P09544	simple:Q9ULV1	WNT2	FZD4	True	False	True	curated	False	0.143								0.193	0.303	0.406	0.143	0.21	0.185	0.148																																			
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	NOTCH2	JAG2	False	True	False	curated	False	0.143			0.493							0.63							0.322							0.525							0.46							0.335							0.525				
CPI-SS08C3D27F7	NOTCH1_JAG2	simple:P46531	simple:Q9Y219	NOTCH1	JAG2	False	True	False	curated	False	0.143			0.285							0.307							0.592							0.336							0.518							0.362							0.322				
CPI-SS0348B76E5	CCL16_CCR1	simple:O15467	simple:P32246	CCL16	CCR1	True	False	True	curated	False	0.143				0.839							0.698							0.802							0.734							0.831							0.836							0.665			
CPI-SC03446A95E	FCER2_aXb2 complex	simple:P06734	complex:aXb2 complex	FCER2		True	True	False	curated	True	0.143	0.587	0.462	0.472	1.105	0.878	0.541	0.484																																										
CPI-SS0879B8E95	CD160_TNFRSF14	simple:O95971	simple:Q92956	CD160	TNFRSF14	False	True	True	curated	False	0.143																													0.68	0.542	0.848	0.873	0.573	0.729	0.833														
CPI-SS0C28FEC7D	TNFSF13_TNFRSF14	simple:O75888	simple:Q92956	TNFSF13	TNFRSF14	True	False	True	I2D,InnateDB-All	False	0.143																						0.955	0.817	1.124	1.148	0.848	1.004	1.108																					
CPI-SS0BA87E94E	GFRAL_GDF15	simple:Q6UXV0	simple:Q99988	GFRAL	GDF15	True	True	False	guidetopharmacology.org	False	0.143							0.627							0.549							0.579							0.596							0.655							0.638							0.534
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		IL1B	True	True	False	curated	False	0.143				0.494							0.684							0.789							0.473							0.512							0.49							0.467			
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	SPN	SIGLEC1	True	False	False	curated	False	0.143				0.891							0.589							0.683							0.741							1.008							0.969							0.574			
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	True	False	True	curated	False	0.143				1.417							0.992							1.117							1.21							1.624							1.575							1.061			
CPI-SS00F282936	CXCR6_CXCL16	simple:O00574	simple:Q9H2A7	CXCR6	CXCL16	True	True	True	guidetopharmacology.org	False	0.143																																0.913				0.474	0.408	0.379	0.982		0.444	0.396							
CPI-SS025C8F785	CLEC2B_KLRF1	simple:Q92478	simple:Q9NZS2	CLEC2B	KLRF1	False	True	True	curated	False	0.143					0.862							0.975							1.06							1.077							1.192							1.039							0.936		
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct,MINT	False	0.143								0.273			0.202	0.229	0.27																														0.252			0.182		0.249	
CPI-CS06072FF4E	IL1 receptor_IL1A	complex:IL1 receptor	simple:P01583		IL1A	True	True	False	curated	False	0.143				0.131							0.322							0.426							0.111							0.15							0.127							0.105			
CPI-SS0DC2A6D35	IL6_HRH1	simple:P05231	simple:P35367	IL6	HRH1	True	False	True	IMEx,InnateDB-All,IntAct	False	0.143								0.192	0.27	0.252	0.194	0.165	0.194	0.169																																			
CPI-SS0C1F25516	CD8A_CEACAM5	simple:P01732	simple:P06731	CD8A	CEACAM5	True	True	False	curated	False	0.143																																				0.739	0.641	0.668	0.665	0.775	0.74	0.634							
CPI-SC05992FDC8	COL5A1_a1b1 complex	simple:P20908	complex:a1b1 complex	COL5A1		True	False	False	curated	True	0.143									0.692	0.821			0.606	0.567		0.206	0.334			0.119																													
CPI-SS0FF6CFDCA	ADORA3_ENTPD1	simple:P0DMS8	simple:P49961	ADORA3	ENTPD1	False	True	False	curated	False	0.143																						0.906	0.639	0.797	0.793	0.758	0.874	0.617																					
CPI-SS09C4988F8	PROS1_TYRO3	simple:P07225	simple:Q06418	PROS1	TYRO3	True	False	True	guidetopharmacology.org	False	0.143									0.343					0.422		0.344					0.423							0.239																0.472					0.55
CPI-SC0BA41B0D3	COL19A1_a1b1 complex	simple:Q14993	complex:a1b1 complex	COL19A1		True	False	False	curated	True	0.143		0.361	0.49			0.275	0.236																																					0.204	0.333			0.118	
CPI-SC040B3EFBC	COL22A1_a1b1 complex	simple:Q8NFW1	complex:a1b1 complex	COL22A1		True	False	False	curated	True	0.143									0.225	0.354			0.139																															0.23	0.359			0.144	0.105
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	PLXNC1	SEMA7A	False	True	False	curated	False	0.143							0.205															0.23	0.29					0.304															0.311	0.37					0.385
CPI-SS02EF3E1BA	TNFSF12_TNFRSF12A	simple:O43508	simple:Q9NP84	TNFSF12	TNFRSF12A	True	False	True	curated	False	0.143									0.501					0.414									0.593		0.272			0.506																0.463					0.376
CPI-SC01EA4FF6B	COL1A1_a2b1 complex	simple:P02452	complex:a2b1 complex	COL1A1		True	False	False	curated	True	0.143								1.059	1.066	1.181	1.013	1.049	1.08	1.08																																			
CPI-SC054484F7B	COL3A1_a2b1 complex	simple:P02461	complex:a2b1 complex	COL3A1		True	False	False	curated	True	0.143								1.029	1.036	1.151	0.983	1.019	1.05	1.05																																			
CPI-SC0D870AE49	COL6A3_a2b1 complex	simple:P12111	complex:a2b1 complex	COL6A3		True	False	False	curated	True	0.143								0.839	0.846	0.961	0.793	0.83	0.861	0.86																																			
CPI-SC058845C44	COL8A1_a2b1 complex	simple:P27658	complex:a2b1 complex	COL8A1		True	False	False	curated	True	0.143								0.386	0.393	0.508	0.34	0.376	0.407	0.407																																			
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	0.143																																											0.476	0.431	0.475	0.473	0.595	0.598	0.428
CPI-SC052A417CB	COL4A3_a2b1 complex	simple:Q01955	complex:a2b1 complex	COL4A3		True	False	False	curated	True	0.143	0.209	0.217	0.332	0.164	0.2	0.231	0.23																																										
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	FGF2	CD44	True	False	True	I2D,InnateDB-All	False	0.143											0.762		0.749	0.825							0.754							0.747														0.759							0.76
CPI-SC0E0C50FCA	COL14A1_a2b1 complex	simple:Q05707	complex:a2b1 complex	COL14A1		True	False	False	curated	True	0.143								0.46	0.468	0.582	0.414	0.451	0.482	0.481																																			
CPI-SC0CCF30377	COL13A1_a2b1 complex	simple:Q5TAT6	complex:a2b1 complex	COL13A1		False	False	False	curated	True	0.143								0.207	0.214	0.329	0.161	0.197	0.228	0.228																																			
CPI-SC09DE07794	COL22A1_a2b1 complex	simple:Q8NFW1	complex:a2b1 complex	COL22A1		True	False	False	curated	True	0.143										0.264			0.163	0.163																													0.147		0.27			0.169	0.168
CPI-SS0BAB460FF	ANGPT2_TEK	simple:O15123	simple:Q02763	ANGPT2	TEK	True	False	True	curated	False	0.143			0.577							0.548							0.736							0.51							0.615							0.561							0.473				
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	curated	False	0.143		0.368							0.317							0.332							0.473							0.336							0.372							0.294					
CPI-SS06ABF2F5A	SELP_CD24	simple:P16109	simple:P25063	SELP	CD24	False	False	False	curated	False	0.143															0.787	0.462	0.475	0.384	0.534	0.503	0.313																												
CPI-SS07F042076	EGFR_EPGN	simple:P00533	simple:Q6UW88	EGFR	EPGN	True	True	False	curated	False	0.143								0.473	0.335	0.376	0.391	0.438	0.473	0.325																																			
CPI-SS00EDDD458	EGFR_MIF	simple:P00533	simple:P14174	EGFR	MIF	True	True	False	IMEx,InnateDB-All	False	0.143								0.922	0.972	1.068	1.092	0.92	0.937	1.224																																			
CPI-SS04F90EE0D	SELE_GLG1	simple:P16581	simple:Q92896	SELE	GLG1	False	False	False	curated	False	0.143															0.564	0.754	0.679	0.504	0.652	0.624	0.584																												
CPI-CS09831CCFD	IL18 receptor_IL18	complex:IL18 receptor	simple:Q14116		IL18	True	True	False	curated	False	0.143																													0.507	0.436	0.441	0.681	0.468	0.472	0.408														
CPI-SS0F4D30D5A	EGFR_EGF	simple:P00533	simple:P01133	EGFR	EGF	True	True	False	curated	False	0.143								0.289	0.277	0.278	0.273	0.27	0.293	0.28																																			
CPI-SS0D46E2B45	TGFB3_TGFBR3	simple:P10600	simple:Q03167	TGFB3	TGFBR3	True	False	True	curated	False	0.143								0.276	0.504	0.603	0.261	0.5	0.327	0.359																																			
CPI-SS00A953C3A	EGF_NRG1	simple:P01133	simple:Q02297	EGF	NRG1	True	False	True	I2D	False	0.143		0.101							0.089							0.089							0.085							0.082							0.105							0.091					
CPI-SS00E3EB9FE	CNR2_ADIPOQ	simple:P34972	simple:Q15848	CNR2	ADIPOQ	True	True	False	IMEx,IntAct	False	0.143	0.485	0.397	0.428	0.415	0.511	0.488	0.392																																										
CPI-SS08B94BEB2	DSC1_DSG2	simple:Q08554	simple:Q14126	DSC1	DSG2	False	False	False	curated	False	0.143	0.169				0.165	0.175														0.163							0.157									0.172					0.178								
CPI-SS0E9015902	CD47_SIRPG	simple:Q08722	simple:Q9P1W8	CD47	SIRPG	False	True	False	curated	False	0.143						1.074							0.905							0.897							0.924							1.032							0.947							0.959	
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	0.143																						0.313	0.274	0.299	0.316	0.374	0.315	0.261																					
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	0.143																						0.204	0.165	0.19	0.207	0.265	0.205	0.152																					
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	0.143																						0.37	0.358	0.33	0.323	0.367	0.377	0.296																					
CPI-SS033CB0BB2	CXADR_FAM3C	simple:P78310	simple:Q92520	CXADR	FAM3C	True	True	False	IMEx,IntAct	False	0.143							0.49							0.398							0.555							0.441							0.522							0.504							0.492
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	0.143											0.367			0.507				0.367			0.507							0.231																		0.306			0.446
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	EGFR	COPA	True	True	False	InnateDB-All	False	0.143								0.505	0.808	0.677	0.707	0.509	0.578	0.801																																			
CPI-SS02C418D99	WNT2_FZD2	simple:P09544	simple:Q14332	WNT2	FZD2	True	False	True	curated	False	0.143								0.263	0.267	0.195	0.215	0.23	0.254	0.154																																			
CPI-CS0DEBE7B69	IL1 receptor_IL1RN	complex:IL1 receptor	simple:P18510		IL1RN	True	True	False	curated	False	0.143				0.436							0.626							0.731							0.416							0.454							0.432							0.409			
CPI-SC08E75294D	COL15A1_a10b1 complex	simple:P39059	complex:a10b1 complex	COL15A1		True	False	False	curated	True	0.163									0.189	0.219				0.317		0.389	0.419				0.517																								0.126				0.224
CPI-CS08109C435	BMPR1B_BMPR2_BMP7	complex:BMPR1B_BMPR2	simple:P18075		BMP7	True	True	False	curated	False	0.163								0.264					0.272																														0.379		0.304	0.283	0.38	0.387	0.249
CPI-SS098F416C1	FGFR2_XPR1	simple:P21802	simple:Q9UBH6	FGFR2	XPR1	True	True	True	InnateDB-All	False	0.163	0.321		0.378			0.358	0.327																													0.318		0.375			0.355	0.325							
CPI-SS0B81F1BF5	TNF_SEMA4C	simple:P01375	simple:Q9C0C4	TNF	SEMA4C	True	False	True	InnateDB-All	False	0.163			0.322				0.232																0.284	0.462		0.305		0.371										0.307				0.216							
CPI-SC08E97F7CA	VCAM1_a4b7 complex	simple:P19320	complex:a4b7 complex	VCAM1		False	False	False	curated	True	0.163								0.423			0.366	0.466	0.496							0.335																0.283				0.326	0.356								
CPI-SS082AD7B6A	FZD6_WNT5A	simple:O60353	simple:P41221	FZD6	WNT5A	True	True	False	curated	False	0.163									0.161	0.201						0.417	0.458	0.394																										0.262	0.302	0.238			
CPI-SS0B6F0C894	DSG2_DSC3	simple:Q14126	simple:Q14574	DSG2	DSC3	False	False	False	curated	False	0.163	0.216				0.217	0.218																							0.212					0.214		0.223				0.223	0.224								
CPI-SC02B111AB0	COL6A1_a10b1 complex	simple:P12109	complex:a10b1 complex	COL6A1		True	False	False	curated	True	0.163									0.81	0.839				0.937			0.193				0.291																							0.216	0.245				0.343
CPI-SS01158CABF	FFAR2_FAM3C	simple:O15552	simple:Q92520	FFAR2	FAM3C	True	True	False	IMEx,IntAct	False	0.163		0.498					0.601							0.454							0.562							0.56							0.573							0.576							0.433
CPI-SC0F516B854	COL5A2_a10b1 complex	simple:P05997	complex:a10b1 complex	COL5A2		True	False	False	curated	True	0.163									0.598	0.628				0.726		0.213	0.242				0.341																								0.156				0.255
CPI-SS03E273233	ADORA2A_ENTPD1	simple:P29274	simple:P49961	ADORA2A	ENTPD1	False	True	False	curated	False	0.163	0.615					0.583																0.603					0.571									0.691		0.581	0.577		0.659								
CPI-SC0CE851065	COL6A2_a10b1 complex	simple:P12110	complex:a10b1 complex	COL6A2		True	False	False	curated	True	0.163									0.728	0.758				0.856		0.41	0.439				0.537																								0.162				0.26
CPI-SC053BBE2B1	COL16A1_a1b1 complex	simple:Q07092	complex:a1b1 complex	COL16A1		True	False	False	curated	True	0.163									0.544	0.673			0.458	0.419																														0.39	0.519			0.304	0.265
CPI-SS03A0C857B	FAS_FASLG	simple:P25445	simple:P48023	FAS	FASLG	True	True	False	curated	False	0.163												0.63	0.428													0.435							0.45	0.247						0.543	0.34						0.416		
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	0.163									0.651	0.455				0.5		0.455					0.304																							0.5	0.304				0.349
CPI-SS0822AEF5F	PTPRC_MRC1	simple:P08575	simple:P22897	PTPRC	MRC1	False	False	True	curated	False	0.163			1.184	1.213																				1.108	1.137						1.286	1.315						1.273	1.302										
CPI-SC0ADD7BEF0	COL19A1_a2b1 complex	simple:Q14993	complex:a2b1 complex	COL19A1		True	False	False	curated	True	0.163	0.278	0.285	0.4	0.232	0.268	0.3	0.299																																						0.243				
CPI-SC0FA79E269	COL4A2_a10b1 complex	simple:P08572	complex:a10b1 complex	COL4A2		True	False	False	curated	True	0.163									0.356	0.386				0.484		0.811	0.84				0.938							0.197																					0.218
CPI-SC091173D82	COL4A4_a1b1 complex	simple:P53420	complex:a1b1 complex	COL4A4		True	False	False	curated	True	0.163		0.24	0.369			0.154	0.115		0.239	0.368			0.153	0.114																																			
CPI-SC02131C05A	COL12A1_a10b1 complex	simple:Q99715	complex:a10b1 complex	COL12A1		True	False	False	curated	True	0.163									0.471	0.5				0.598		0.203	0.232				0.331																								0.167				0.265
CPI-SC0984894BC	TGFB1_TGFbeta receptor2	simple:P01137	complex:TGFbeta receptor2	TGFB1		True	False	True	curated	False	0.163									0.26					0.176		0.244					0.159		0.267					0.182		0.26					0.175														
CPI-SS077D7365D	CD28_CD86	simple:P10747	simple:P42081	CD28	CD86	False	False	True	curated	False	0.163				0.543							0.516							0.516							0.608							0.531				0.444			0.849							0.518			
CPI-SS00B1BEE64	CD2_CD58	simple:P06729	simple:P19256	CD2	CD58	False	True	False	curated	False	0.163																																			0.853	0.958	1.008	1.111	1.244	1.157	1.083	1.345							
CPI-SC006E22794	COL1A2_a1b1 complex	simple:P08123	complex:a1b1 complex	COL1A2		True	False	False	curated	True	0.163									1.153	1.282			1.067	1.028																														0.295	0.424			0.209	0.17
CPI-SS08920B6FF	PODXL_SELL	simple:O00592	simple:P14151	PODXL	SELL	False	False	False	curated	False	0.163								0.858			0.421		0.498		1.249		0.589	0.811	0.741	0.889																													
CPI-SC00756BB93	THY1_aVb3 complex	simple:P04216	complex:aVb3 complex	THY1		False	False	False	curated	True	0.163									0.961	0.968	0.866			0.894		0.614	0.621	0.519			0.547																												
CPI-SC0017F527E	COL18A1_a10b1 complex	simple:P39060	complex:a10b1 complex	COL18A1		True	False	False	curated	True	0.163									0.222	0.251				0.349		0.436	0.465				0.564																								0.166				0.264
CPI-SC0672FBD31	COL4A1_a1b1 complex	simple:P02462	complex:a1b1 complex	COL4A1		True	False	False	curated	True	0.163									0.451	0.58			0.365	0.326		0.921	1.05			0.835	0.796																												
CPI-SC0E2D0DC4B	FGF1_aVb3 complex	simple:P05230	complex:aVb3 complex	FGF1		True	False	False	curated	True	0.163									0.335	0.342	0.24			0.268																														0.314	0.321	0.219			0.247
CPI-SC0D9B795CC	CDH1_a2b1 complex	simple:P12830	complex:a2b1 complex	CDH1		False	False	False	curated	True	0.163																																						0.324					0.477	0.484	0.599	0.431	0.467	0.498	0.498
CPI-SC0EAF80261	SEMA7A_a1b1 complex	simple:O75326	complex:a1b1 complex	SEMA7A		False	False	False	curated	True	0.184		0.23	0.359						0.289	0.418			0.203																															0.304	0.433			0.218	0.179
CPI-SS0B0CF0EDF	TNFSF15_TNFRSF25	simple:O95150	simple:Q93038	TNFSF15	TNFRSF25	True	False	True	guidetopharmacology.org	False	0.184			0.234			0.298							0.206							0.237				0.223			0.287							0.29							0.278							0.215	
CPI-SC03DD946B2	TGFB2_TGFbeta receptor1	simple:P61812	complex:TGFbeta receptor1	TGFB2		True	False	True	curated	False	0.184									0.216		0.251	0.286		0.25		0.234		0.269	0.304	0.139	0.268																												
CPI-SS08330207B	BTLA_TNFRSF14	simple:Q7Z6A9	simple:Q92956	BTLA	TNFRSF14	False	True	True	guidetopharmacology.org	False	0.184	0.682		0.851	0.876		0.731	0.835																															0.69	0.714		0.57	0.674							
