gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CAF	Endo	Macro	NK	T_cell	malignant_cell
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0057AB387	0.004	0.055	0.0	0.003	0.0	0.005	0.003
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	0.006	0.0	0.0	0.022	0.0	0.007	0.002
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS0609FCF76	0.0	0.007	0.0	0.004	0.0	0.001	0.002
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0E5397537	0.004	0.055	0.0	0.003	0.0	0.005	0.003
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS019104E2E	0.006	0.0	0.0	0.022	0.0	0.007	0.002
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0EB5364D4	0.002	0.091	0.152	0.017	0.0	0.006	0.002
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.003	0.102	0.0	0.001	0.054	0.009	0.005
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.222	0.0	0.014	0.0	0.663	0.05	0.004
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.222	0.0	0.014	0.0	0.663	0.05	0.004
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.068	0.288	0.431	0.307	0.019	0.067	0.157
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.111	0.064	0.056	0.056	0.1	0.129	0.073
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.09	0.103	0.144	0.579	0.056	0.197	0.021
ANGPT2	O15123	False	ANGP2_HUMAN		CPI-SS0BAB460FF	0.355	0.295	0.672	0.219	0.43	0.322	0.145
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.081	0.187	0.0	0.092	0.024	0.081	0.006
EPO	P01588	False	EPO_HUMAN		CPI-SS04124F4E1	0.003	0.0	0.0	0.0	0.0	0.001	0.002
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.004	0.132	0.114	0.139	0.0	0.008	0.017
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.081	0.187	0.0	0.092	0.024	0.081	0.006
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.004	0.132	0.114	0.139	0.0	0.008	0.017
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.008	0.098	0.026	0.033	0.0	0.004	0.045
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.015	0.09	0.731	0.03	0.0	0.009	0.056
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.007	0.093	0.132	0.0	0.02	0.008	0.007
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.032	0.159	0.239	0.019	0.138	0.09	0.047
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.081	0.187	0.0	0.092	0.024	0.081	0.006
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.004	0.132	0.114	0.139	0.0	0.008	0.017
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.008	0.098	0.026	0.033	0.0	0.004	0.045
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.015	0.09	0.731	0.03	0.0	0.009	0.056
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.007	0.093	0.132	0.0	0.02	0.008	0.007
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.032	0.159	0.239	0.019	0.138	0.09	0.047
EPO	P01588	False	EPO_HUMAN		CPI-SS087A17AD6	0.003	0.0	0.0	0.0	0.0	0.001	0.002
EPO	P01588	False	EPO_HUMAN		CPI-SS0A0DE9CD6	0.003	0.0	0.0	0.0	0.0	0.001	0.002
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.007	0.044	0.489	0.003	0.0	0.013	0.018
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.004	0.132	0.114	0.139	0.0	0.008	0.017
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.004	0.0	0.019	0.014	0.091	0.106	0.003
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.002	0.15	0.396	0.0	0.026	0.003	0.066
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0BEAB521F	0.042	0.243	0.003	0.01	0.011	0.03	0.105
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS012CCE326	0.0	0.0	0.0	0.0	0.0	0.006	0.001
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.007	0.044	0.489	0.003	0.0	0.013	0.018
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.007	0.044	0.489	0.003	0.0	0.013	0.018
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.004	0.0	0.019	0.014	0.091	0.106	0.003
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.002	0.15	0.396	0.0	0.026	0.003	0.066
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0AB0604B5	0.042	0.243	0.003	0.01	0.011	0.03	0.105
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS0DF162C10	0.0	0.0	0.0	0.0	0.0	0.006	0.001
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.004	0.0	0.019	0.014	0.091	0.106	0.003
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.002	0.15	0.396	0.0	0.026	0.003	0.066
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS041888D39	0.042	0.243	0.003	0.01	0.011	0.03	0.105
EPHA8	P29322	False	EPHA8_HUMAN		CPI-SS02B285B4D	0.0	0.0	0.0	0.0	0.0	0.006	0.001
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.009	0.006	0.0	0.016	0.017	0.005	0.04
NGF	P01138	False	NGF_HUMAN		CPI-SS052127A00	0.001	0.279	0.0	0.0	0.0	0.001	0.0
NGF	P01138	False	NGF_HUMAN		CPI-SS0EDD4928A	0.001	0.279	0.0	0.0	0.0	0.001	0.0
TTR	P02766	False	TTHY_HUMAN		CPI-SS08B85996F	0.008	0.0	0.028	0.0	0.0	0.004	0.096
TTR	P02766	False	TTHY_HUMAN		CPI-SS00D3CD86E	0.008	0.0	0.028	0.0	0.0	0.004	0.096
TTR	P02766	False	TTHY_HUMAN		CPI-SS06006F870	0.008	0.0	0.028	0.0	0.0	0.004	0.096
GPR37	O15354	False	GPR37_HUMAN		CPI-SS0AB647854	0.001	0.008	0.029	0.004	0.0	0.009	0.183
GPR37L1	O60883	False	ETBR2_HUMAN		CPI-SS082900482	0.527	0.185	0.314	0.273	0.498	0.521	0.194
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.001	0.009	0.007	0.026	0.0	0.002	0.007
GRIN2A	Q12879	False	NMDE1_HUMAN		CPI-SS070B0E458	0.015	0.0	0.0	0.0	0.027	0.016	0.01
GRIN2B	Q13224	False	NMDE2_HUMAN		CPI-SS0D529E576	0.004	0.052	0.0	0.015	0.0	0.007	0.039
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.011	0.613	0.433	0.08	0.068	0.256	0.103
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.011	0.613	0.433	0.08	0.068	0.256	0.103
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS04861AD1A	0.0	0.06	0.022	0.003	0.0	0.003	0.026
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS055B305F1	0.074	0.016	0.47	0.05	0.007	0.064	0.548
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	0.76	0.232	0.021	0.305	0.878	0.833	0.18
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0A2D7895C	0.074	0.016	0.47	0.05	0.007	0.064	0.548
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	0.329	0.133	0.186	0.181	0.399	0.33	0.118
CEACAM8	P31997	False	CEAM8_HUMAN		CPI-SS08C411721	0.469	0.142	0.209	0.224	0.31	0.37	0.126
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	0.009	0.003	0.0	0.007	0.007	0.006	0.003
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0CCDBBBC0	0.074	0.016	0.47	0.05	0.007	0.064	0.548
MLNR	O43193	False	MTLR_HUMAN		CPI-SS0D449DE26	0.0	0.0	0.0	0.0	0.0	0.002	0.002
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.965	0.517	0.658	0.581	0.839	0.932	0.418
PTGER3	P43115	False	PE2R3_HUMAN		CPI-SS043E0F61D	0.018	0.105	0.0	0.01	0.0	0.013	0.02
PTGIR	P43119	False	PI2R_HUMAN		CPI-SS05D406038	0.002	0.35	0.012	0.129	0.0	0.021	0.0
GHRHR	Q02643	False	GHRHR_HUMAN		CPI-SS090987D9C	0.002	0.0	0.012	0.0	0.0	0.002	0.002
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS07D40A3F3	0.008	0.0	0.0	0.003	0.0	0.006	0.005
ACE2	Q9BYF1	False	ACE2_HUMAN		CPI-SS085C150CE	0.0	0.0	0.0	0.0	0.0	0.004	0.004
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS0EB3C2743	0.008	0.0	0.0	0.003	0.0	0.006	0.005
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.061	0.152	0.086	0.335	0.053	0.078	0.075
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.255	0.072	0.133	0.233	0.239	0.216	0.089
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.061	0.152	0.086	0.335	0.053	0.078	0.075
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS029C6E8FA	0.255	0.072	0.133	0.233	0.239	0.216	0.089
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0B9DC75DD	0.479	0.265	0.322	0.313	0.674	0.615	0.18
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	0.0	0.0	0.025	0.01	0.0	0.001	0.001
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	0.018	0.029	0.016	0.023	0.0	0.023	0.029
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.105	0.113	0.0	0.0	0.017	0.1	0.027
HCRT	O43612	False	OREX_HUMAN		CPI-SS084816B12	0.003	0.0	0.0	0.0	0.0	0.004	0.0
HCRT	O43612	False	OREX_HUMAN		CPI-SS02461AE98	0.003	0.0	0.0	0.0	0.0	0.004	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.005	0.19	0.016	0.24	0.0	0.011	0.148
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.005	0.19	0.016	0.24	0.0	0.011	0.148
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C694CB44	0.005	0.19	0.016	0.24	0.0	0.011	0.148
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.052	0.188	0.701	0.025	0.015	0.113	0.391
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.13	0.13	0.019	0.329	0.094	0.082	0.491
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.009	0.261	0.0	0.004	0.0	0.006	0.102
LRP5	O75197	False	LRP5_HUMAN		CPI-SS0A4EE6FE1	0.007	0.077	0.361	0.0	0.0	0.01	0.103
LGR5	O75473	False	LGR5_HUMAN		CPI-SS05E001125	0.001	0.116	0.0	0.0	0.0	0.003	0.003
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0F102AAC5	0.001	0.116	0.0	0.0	0.0	0.003	0.003
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0FC0CA5ED	0.001	0.116	0.0	0.0	0.0	0.003	0.003
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0DCA749B0	0.001	0.116	0.0	0.0	0.0	0.003	0.003
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.007	0.187	0.0	0.002	0.0	0.003	0.048
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.01	0.265	0.25	0.011	0.011	0.019	0.221
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	0.0	0.039	0.0	0.0	0.0	0.0	0.003
GRN	P28799	False	GRN_HUMAN		CPI-SS0829B8FD2	0.706	1.339	1.671	1.966	0.316	0.231	1.555
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS00F979E99	0.76	0.232	0.021	0.305	0.878	0.833	0.18
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.492	1.1	0.836	0.898	0.501	0.638	1.085
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.203	0.752	0.9	1.31	0.161	0.331	0.938
PROK1	P58294	False	PROK1_HUMAN		CPI-SS04FB6F38D	0.002	0.016	0.0	0.0	0.007	0.002	0.001
GAL	P22466	False	GALA_HUMAN		CPI-SS0BE567EFB	0.004	0.0	0.0	0.018	0.0	0.003	0.004
UTS2	O95399	False	UTS2_HUMAN		CPI-SS033C67295	0.0	0.0	0.0	0.0	0.0	0.056	0.0
GLP2R	O95838	False	GLP2R_HUMAN		CPI-SS00EC753E6	0.003	0.0	0.0	0.004	0.0	0.001	0.001
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.007	1.232	0.021	0.648	0.0	0.014	0.033
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS03E273233	0.159	0.064	0.02	0.135	0.035	0.31	0.014
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.012	0.0	0.026	0.741	0.0	0.009	0.026
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.058	0.064	0.003	0.024	0.039	0.041	0.149
ADORA1	P30542	False	AA1R_HUMAN		CPI-SS03E7587E4	0.009	0.06	0.0	0.014	0.0	0.005	0.013
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	0.003	0.236	0.0	0.008	0.0	0.003	0.097
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	0.003	0.236	0.0	0.008	0.0	0.003	0.097
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.019	0.082	0.029	0.055	0.03	0.023	0.043
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.019	0.082	0.029	0.055	0.03	0.023	0.043
KNG1	P01042	False	KNG1_HUMAN		CPI-SS075D9B9AD	0.023	0.014	0.005	0.023	0.011	0.017	0.009
PENK	P01210	False	PENK_HUMAN		CPI-SS06AC5AF53	0.002	0.037	0.0	0.0	0.0	0.004	0.002
CGA	P01215	False	GLHA_HUMAN		CPI-SS033180726	0.024	0.0	0.013	0.013	0.029	0.026	0.005
LHB	P01229	False	LSHB_HUMAN		CPI-SS0DEF5D0CE	0.005	0.018	0.0	0.005	0.0	0.004	0.031
CGA	P01215	False	GLHA_HUMAN		CPI-SS0577408A3	0.024	0.0	0.013	0.013	0.029	0.026	0.005
FSHB	P01225	False	FSHB_HUMAN		CPI-SS035A3ADDF	0.007	0.0	0.0	0.0	0.0	0.004	0.0
TSHB	P01222	False	TSHB_HUMAN		CPI-SS0C7833961	0.0	0.019	0.0	0.0	0.0	0.007	0.001
PRL	P01236	False	PRL_HUMAN		CPI-SS00689751B	0.003	0.0	0.023	0.0	0.0	0.003	0.003
GH1	P01241	False	SOMA_HUMAN		CPI-SS0A606E2DA	0.01	0.0	0.0	0.0	0.0	0.005	0.003
GH1	P01241	False	SOMA_HUMAN		CPI-SS0ACD3CCEE	0.01	0.0	0.0	0.0	0.0	0.005	0.003
GH2	P01242	False	SOM2_HUMAN		CPI-SS0DB45E7DF	0.0	0.021	0.0	0.0	0.0	0.005	0.003
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.015	0.02	0.006	0.01	0.0	0.014	0.011
PTH	P01270	False	PTHY_HUMAN		CPI-SS0D87F8BD7	0.0	0.0	0.0	0.0	0.0	0.002	0.002
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS012B216F6	0.002	0.253	0.03	0.001	0.0	0.011	0.02
PTH	P01270	False	PTHY_HUMAN		CPI-SS0F32DB87D	0.0	0.0	0.0	0.0	0.0	0.002	0.002
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS0483CE4ED	0.002	0.253	0.03	0.001	0.0	0.011	0.02
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS058E608D0	0.002	0.253	0.03	0.001	0.0	0.011	0.02
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.005	0.028	0.03	0.864	0.032	0.013	0.018
CD8A	P01732	False	CD8A_HUMAN		CPI-SS0C1F25516	0.04	0.004	0.002	0.013	0.221	1.15	0.019
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.016	1.353	0.681	1.516	0.997	0.655	1.171
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	0.016	1.353	0.681	1.516	0.997	0.655	1.171
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS030BB46BB	0.016	1.353	0.681	1.516	0.997	0.655	1.171
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	0.189	1.097	1.737	0.551	0.01	0.101	0.615
SAA1	P0DJI8	False	SAA1_HUMAN		CPI-SS05F45873A	0.01	0.0	0.07	0.014	0.0	0.011	0.21
RLN2	P04090	False	REL2_HUMAN		CPI-SS018FB4D9F	0.034	0.0	0.04	0.004	0.029	0.029	0.006
RLN1	P04808	False	REL1_HUMAN		CPI-SS0D3A5646A	0.007	0.0	0.014	0.01	0.046	0.007	0.002
INSL3	P51460	False	INSL3_HUMAN		CPI-SS06CF55F94	0.018	0.0	0.0	0.03	0.016	0.059	0.007
RLN2	P04090	False	REL2_HUMAN		CPI-SS045EC4F7D	0.034	0.0	0.04	0.004	0.029	0.029	0.006
RLN1	P04808	False	REL1_HUMAN		CPI-SS0FAE75A75	0.007	0.0	0.014	0.01	0.046	0.007	0.002
INSL3	P51460	False	INSL3_HUMAN		CPI-SS08805BBC2	0.018	0.0	0.0	0.03	0.016	0.059	0.007
RLN3	Q8WXF3	False	REL3_HUMAN		CPI-SS031E35270	0.012	0.0	0.0	0.0	0.0	0.002	0.0
RLN2	P04090	False	REL2_HUMAN		CPI-SS0F8DE3306	0.034	0.0	0.04	0.004	0.029	0.029	0.006
RLN3	Q8WXF3	False	REL3_HUMAN		CPI-SS02EF37382	0.012	0.0	0.0	0.0	0.0	0.002	0.0
CSF2	P04141	False	CSF2_HUMAN		CPI-SS092E57263	0.0	0.01	0.0	0.012	0.028	0.007	0.002
IL4	P05112	False	IL4_HUMAN		CPI-SS01AD399A0	0.003	0.007	0.0	0.0	0.0	0.003	0.001
IL13	P35225	False	IL13_HUMAN		CPI-SS066FBE098	0.0	0.0	0.0	0.0	0.0	0.004	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0186F8AED	0.118	0.084	0.018	0.041	0.079	0.175	0.086
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0BCCDFA7A	0.203	0.752	0.9	1.31	0.161	0.331	0.938
IL13	P35225	False	IL13_HUMAN		CPI-SS0073098F3	0.0	0.0	0.0	0.0	0.0	0.004	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.118	0.084	0.018	0.041	0.079	0.175	0.086
IL6	P05231	False	IL6_HUMAN		CPI-SS0DC2A6D35	0.17	0.278	0.056	0.071	0.0	0.007	0.01
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	0.02	0.008	0.0	0.021	0.742	1.725	0.016
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0B537DD3F	0.329	0.133	0.186	0.181	0.399	0.33	0.118
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0AC66088D	0.329	0.133	0.186	0.181	0.399	0.33	0.118
CRH	P06850	False	CRF_HUMAN		CPI-SS0A05319F5	0.0	0.0	0.0	0.0	0.0	0.004	0.002
UCN	P55089	False	UCN1_HUMAN		CPI-SS0E654708F	0.014	0.0	0.0	0.028	0.0	0.018	0.044
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.009	0.508	0.511	0.142	0.0	0.02	0.766
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.009	0.508	0.511	0.142	0.0	0.02	0.766
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	0.015	0.02	0.0	1.584	0.0	0.015	0.008
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS05BE83BC6	0.015	0.02	0.0	1.584	0.0	0.015	0.008
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0DFA98A14	0.015	0.02	0.0	1.584	0.0	0.015	0.008
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	0.003	0.0	0.0	0.0	0.0	0.004	0.001
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	1.739	0.259	0.058	1.586	1.942	1.917	0.089
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	1.739	0.259	0.058	1.586	1.942	1.917	0.089
MET	P08581	False	MET_HUMAN		CPI-SS07F60834D	0.103	0.171	0.414	0.114	0.069	0.108	0.521
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	1.204	0.13	0.042	1.181	1.299	1.199	0.035
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.013	1.03	0.013	0.032	0.204	0.016	0.012
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.873	0.038	0.31	1.213	0.0	0.024	0.008
CSF3	P09919	False	CSF3_HUMAN		CPI-SS08376F0E6	0.002	0.0	0.0	0.0	0.0	0.004	0.001
KIT	P10721	False	KIT_HUMAN		CPI-SS02D7A1DDE	0.016	0.081	0.058	0.002	0.158	0.012	0.307
EPOR	P19235	False	EPOR_HUMAN		CPI-SS0EDAE16B6	0.038	0.082	0.063	0.088	0.064	0.052	0.149
CD28	P10747	False	CD28_HUMAN		CPI-SS07327E587	0.083	0.029	0.029	0.213	0.059	0.696	0.033
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0320FFAFC	0.014	0.0	0.019	0.036	0.0	0.646	0.025
CD28	P10747	False	CD28_HUMAN		CPI-SS077D7365D	0.083	0.029	0.029	0.213	0.059	0.696	0.033
CTLA4	P16410	False	CTLA4_HUMAN		CPI-SS0B0E09B1C	0.014	0.0	0.019	0.036	0.0	0.646	0.025
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03EF699C7	2.126	1.431	1.968	2.001	2.145	2.126	1.475
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS0C4FA643F	2.126	1.431	1.968	2.001	2.145	2.126	1.475
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS03339363E	2.126	1.431	1.968	2.001	2.145	2.126	1.475
SELL	P14151	False	LYAM1_HUMAN		CPI-SS0EB5AEC83	1.477	0.057	0.157	0.602	0.461	0.757	0.05
SELP	P16109	False	LYAM3_HUMAN		CPI-SS015E1E2C6	0.026	0.0	0.434	0.0	0.0	0.039	0.005
SELL	P14151	False	LYAM1_HUMAN		CPI-SS087321EB5	1.477	0.057	0.157	0.602	0.461	0.757	0.05
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.026	0.0	0.434	0.0	0.0	0.039	0.005
SELE	P16581	False	LYAM2_HUMAN		CPI-SS086A1C18B	0.013	0.0	0.325	0.001	0.0	0.006	0.002
SELP	P16109	False	LYAM3_HUMAN		CPI-SS06ABF2F5A	0.026	0.0	0.434	0.0	0.0	0.039	0.005
SELE	P16581	False	LYAM2_HUMAN		CPI-SS04F90EE0D	0.013	0.0	0.325	0.001	0.0	0.006	0.002
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	0.687	1.561	1.484	1.022	1.184	1.235	1.382
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS08E6EA18C	0.006	0.125	0.427	0.0	0.01	0.004	0.006
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS0A1864A37	0.006	0.125	0.427	0.0	0.01	0.004	0.006
NPR3	P17342	False	ANPRC_HUMAN		CPI-SS0EB4002A2	0.014	0.231	0.086	0.0	0.0	0.008	0.007
NPR2	P20594	False	ANPRB_HUMAN		CPI-SS06B94F144	0.018	0.141	0.021	0.011	0.036	0.028	0.047
NPR3	P17342	False	ANPRC_HUMAN		CPI-SS05F0AFA81	0.014	0.231	0.086	0.0	0.0	0.008	0.007
SPN	P16150	False	LEUK_HUMAN		CPI-SS02A170A99	1.084	0.479	0.669	0.785	1.318	1.241	0.45
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS03CC15FF3	0.013	1.066	0.015	0.009	0.0	0.009	0.018
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS03A3EE72E	0.087	0.077	1.008	0.055	0.144	0.123	0.041
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS0F972435E	0.087	0.077	1.008	0.055	0.144	0.123	0.041
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0273C9AED	0.006	0.007	0.888	0.004	0.016	0.012	0.022
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	0.463	0.176	1.569	0.928	0.557	0.466	0.121
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS081AD39D7	0.463	0.176	1.569	0.928	0.557	0.466	0.121
PRLR	P16471	False	PRLR_HUMAN		CPI-SS02C0BCFFE	0.019	0.028	0.008	0.129	0.027	0.022	0.052
PMCH	P20382	False	MCH_HUMAN		CPI-SS029B74C35	0.002	0.051	0.0	0.0	0.018	0.033	0.004
PMCH	P20382	False	MCH_HUMAN		CPI-SS0362EFFDE	0.002	0.051	0.0	0.0	0.018	0.033	0.004
TRH	P20396	False	TRH_HUMAN		CPI-SS00F69C501	0.001	0.023	0.0	0.011	0.042	0.003	0.002
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	0.0	0.0	0.0	0.0	0.0	0.002	0.0
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.131	0.087	0.129	1.085	0.118	0.123	0.047
TNFSF4	P23510	False	TNFL4_HUMAN		CPI-SS04456F441	0.058	0.064	0.021	0.032	0.062	0.135	0.337
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS05E63FBEC	0.005	0.0	0.0	0.009	0.091	0.009	0.004
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS087BD262F	0.147	0.068	0.118	0.152	0.268	0.15	0.043
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0C7012011	0.005	0.0	0.0	0.009	0.091	0.009	0.004
CXCR1	P25024	False	CXCR1_HUMAN		CPI-SS0288E42FB	0.005	0.0	0.0	0.009	0.091	0.009	0.004
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0C7915758	0.147	0.068	0.118	0.152	0.268	0.15	0.043
FPR3	P25089	False	FPR3_HUMAN		CPI-SS0D2539AEB	0.01	0.006	0.02	0.879	0.0	0.011	0.006
