malignant_cell	CAF	interaction.type	LRscore
TNFSF13	TNFRSF1A	autocrine|paracrine	0.581312919981611
RTN4	CNTNAP1	autocrine|paracrine	0.580890210722106
EFNA1	EPHA4	autocrine|paracrine	0.580718497219977
TFPI	F3	autocrine|paracrine	0.580540679534738
LAMB1	ITGA6	autocrine|paracrine	0.580214366186183
UBA52	AGTR1	autocrine|paracrine	0.578062765961203
LAMC1	ITGA7	autocrine|paracrine	0.577581888096164
GNAI2	ADCY7	autocrine|paracrine	0.576647726135073
VEGFA	EGFR	autocrine|paracrine	0.576448595955035
EFNA5	EPHA4	autocrine|paracrine	0.575796924699854
C3	IFITM1	autocrine|paracrine	0.575750662373184
ZP3	EGFR	autocrine|paracrine	0.575482200585712
LAMB3	CD151	autocrine|paracrine	0.574816263247349
GDNF	GFRA1	autocrine|paracrine	0.573636814163518
L1CAM	EGFR	autocrine|paracrine	0.573435161061969
CEACAM1	CD209	autocrine|paracrine	0.573082613247492
HSPG2	ITGA2	autocrine|paracrine	0.572001785254303
TP53	TNFRSF10D	autocrine|paracrine	0.571552906975272
FN1	ROBO4	autocrine|paracrine	0.569413429246262
SAA1	SCARB1	autocrine|paracrine	0.568923957126021
GNAI2	ADRA2A	autocrine|paracrine	0.5684773413304
VEGFA	GPC1	autocrine|paracrine	0.568100417304673
TNFSF14	TNFRSF14	autocrine|paracrine	0.566816386764054
COL18A1	GPC4	autocrine|paracrine	0.566562952488816
ICAM1	IL2RA	autocrine|paracrine	0.566073180820925
GAS6	AXL	autocrine|paracrine	0.565476411530055
ICAM1	ITGB2	autocrine|paracrine	0.565383745937277
LAMC1	ITGA2	autocrine|paracrine	0.564987784700294
TCTN1	TMEM67	autocrine|paracrine	0.564569445920068
CALM1	KCNQ5	autocrine|paracrine	0.564454894031601
SEMA3A	NRP1	autocrine|paracrine	0.564222896810002
CALM2	KCNQ1	autocrine|paracrine	0.562840311415133
CAMP	IGF1R	autocrine|paracrine	0.562774009344156
COL6A2	ITGA1	autocrine|paracrine	0.562554483725652
IL8	SDC1	autocrine|paracrine	0.562540331802445
CALM1	PTH2R	autocrine|paracrine	0.561788373158214
THBS1	SDC4	autocrine|paracrine	0.561542938688177
SAA1	ADRA2A	autocrine|paracrine	0.561431110605583
LAMA2	RPSA	autocrine|paracrine	0.561253154303157
F8	LDLR	autocrine|paracrine	0.560843666870633
IRAK4	TLR4	autocrine|paracrine	0.560573831753137
TNFSF4	TRAF2	autocrine|paracrine	0.560340603320154
CALM1	GRM3	autocrine|paracrine	0.560240333285036
LUM	ITGB1	autocrine|paracrine	0.560214761731791
CP	SLC40A1	autocrine|paracrine	0.559101311849595
HRAS	INSR	autocrine|paracrine	0.558431736661235
VCAM1	MSN	autocrine|paracrine	0.558185585706717
LAMC2	ITGB1	autocrine|paracrine	0.558171852620994
VEGFA	ITGAV	autocrine|paracrine	0.558138694224748
TNFSF14	TNFRSF6B	autocrine|paracrine	0.5580866216422
COL1A2	ITGA2	autocrine|paracrine	0.55756801942937
FN1	FLT4	autocrine|paracrine	0.55751358338099
COL6A1	ITGA2	autocrine|paracrine	0.556800670129597
CALM3	GP6	autocrine|paracrine	0.555374718926207
L1CAM	ITGAV	autocrine|paracrine	0.555095532229107
CDH1	LRP5	autocrine|paracrine	0.555007409620563
PDGFD	PDGFRB	autocrine|paracrine	0.554726163859746
LYZ	ITGAL	autocrine|paracrine	0.554367365268573
B2M	KLRC2	autocrine|paracrine	0.554081461062271
PDGFD	PDGFRA	autocrine|paracrine	0.553734800433131
FGF13	EGFR	autocrine|paracrine	0.553628363752853
HLA-G	CD4	autocrine|paracrine	0.55238315673567
LAMA4	ITGA3	autocrine|paracrine	0.551962336612276
P4HB	GPR162	autocrine|paracrine	0.551474498323659
GNAS	PTGDR	autocrine|paracrine	0.550774019126731
BDNF	NGFRAP1	autocrine|paracrine	0.549863442310791
QDPR	DYSF	autocrine|paracrine	0.54931914778386
NLGN1	NRXN3	autocrine|paracrine	0.548558957355615
SFRP1	FZD6	autocrine|paracrine	0.54849329679525
ADM	ADRB2	autocrine|paracrine	0.547867917312578
TNF	TNFRSF1A	autocrine|paracrine	0.547520350537603
EFNA4	EPHA10	autocrine|paracrine	0.547296675539734
TGFB2	ENG	autocrine|paracrine	0.545366487954325
SPON2	ITGB2	autocrine|paracrine	0.545265745676773
COL5A2	ITGA1	autocrine|paracrine	0.545145337397386
TNFSF13	SDC2	autocrine|paracrine	0.544897805693766
BMP8B	BMPR1A	autocrine|paracrine	0.544526414197719
EDIL3	ITGB5	autocrine|paracrine	0.544095244867985
LAMC1	ITGA6	autocrine|paracrine	0.543407694480751
ADM	CALCRL	autocrine|paracrine	0.543270275502419
NCAM1	GFRA1	autocrine|paracrine	0.543049577282849
COL4A1	CD47	autocrine|paracrine	0.542361815394299
HBEGF	ERBB2	autocrine|paracrine	0.542128759530661
SEMA4F	NRP2	autocrine|paracrine	0.541520913677806
BMP8A	BMPR2	autocrine|paracrine	0.540776869947045
ADAM12	ITGB1	autocrine|paracrine	0.539387364092424
PAPLN	SIRPA	autocrine|paracrine	0.539199718775511
EPGN	EGFR	autocrine|paracrine	0.538750442933778
EFNA5	EPHB2	autocrine|paracrine	0.538588527758544
CCL5	GPR75	autocrine|paracrine	0.538204215265648
ADM	TSHR	autocrine|paracrine	0.537647658294886
BMP7	BMPR2	autocrine|paracrine	0.537356969373361
HLA-C	NOTCH4	autocrine|paracrine	0.536928320693967
FBN1	ITGB1	autocrine|paracrine	0.535962059196297
BMP7	ACVR1	autocrine|paracrine	0.535525103696717
COL4A5	CD47	autocrine|paracrine	0.535463157688926
COL6A1	ITGA6	autocrine|paracrine	0.535148595988308
COL7A1	ITGB1	autocrine|paracrine	0.534436968112857
PLAT	ITGB2	autocrine|paracrine	0.533510849658534
ICAM4	ITGAV	autocrine|paracrine	0.533357296611834
COL4A2	ITGB5	autocrine|paracrine	0.533203808194525
IAPP	RAMP1	autocrine|paracrine	0.532522524385252
CTHRC1	FZD5	autocrine|paracrine	0.531338602781702
THBS1	SDC1	autocrine|paracrine	0.531151564089804
LAMA1	ITGA1	autocrine|paracrine	0.53097245482496
COL18A1	ITGB3	autocrine|paracrine	0.528604965761722
TFPI	SDC4	autocrine|paracrine	0.527865765019767
FN1	ITGB7	autocrine|paracrine	0.527770377394504
GNAI2	S1PR1	autocrine|paracrine	0.527755961368994
TF	ADRB2	autocrine|paracrine	0.527170242891803
ITGB2	THY1	autocrine|paracrine	0.526770079870658
IRAK4	TLR6	autocrine|paracrine	0.526235609251096
LAMA5	SDC1	autocrine|paracrine	0.525483994367049
EFNA4	EPHA3	autocrine|paracrine	0.525216112447072
TGFB3	ITGB1	autocrine|paracrine	0.523751624632646
CALM3	SELL	autocrine|paracrine	0.523581925738899
ADIPOQ	ADIPOR1	autocrine|paracrine	0.523519566290903
CCL28	ADRA2A	autocrine|paracrine	0.523410093423473
IL11	IL11RA	autocrine|paracrine	0.522893776640223
C3	LRP1	autocrine|paracrine	0.522136781718942
SEMA6D	PLXNA1	autocrine|paracrine	0.521947814619785
EDIL3	ITGAV	autocrine|paracrine	0.521600396426591
THBS2	ITGA4	autocrine|paracrine	0.521008223943631
CXCL16	ADRA2A	autocrine|paracrine	0.520939958738736
UBC	LRP2	autocrine|paracrine	0.520675528895991
VEGFA	SIRPA	autocrine|paracrine	0.520644510081174
EFNA1	EPHB1	autocrine|paracrine	0.520282758624212
LPL	VLDLR	autocrine|paracrine	0.519995171036189
CALM2	GRM7	autocrine|paracrine	0.519628173752356
NCAM1	ROBO1	autocrine|paracrine	0.518855616219982
CALM2	ADCY8	autocrine|paracrine	0.517973078397167
THBS2	ITGB3	autocrine|paracrine	0.517612787289805
VCAN	EGFR	autocrine|paracrine	0.517074300685002
DUSP18	ITGA7	autocrine|paracrine	0.516781968029262
UBB	LRP2	autocrine|paracrine	0.516276055384611
RPS27A	LRP2	autocrine|paracrine	0.515848752640777
EFNA5	EPHB1	autocrine|paracrine	0.515243959086526
CDH1	KLRG1	autocrine|paracrine	0.515134409076906
HSPA8	LRP2	autocrine|paracrine	0.514913492541714
ADAM9	ITGA3	autocrine|paracrine	0.514382249079286
THBS2	NOTCH3	autocrine|paracrine	0.513588190743802
CALM3	PDE1B	autocrine|paracrine	0.513374884572264
FARP2	PLXNA4	autocrine|paracrine	0.513033100952638
GNAI2	S1PR5	autocrine|paracrine	0.510718243821467
LTBP1	ITGB5	autocrine|paracrine	0.510598722734986
CALM1	KCNQ1	autocrine|paracrine	0.510575920551624
GNAI2	ADCY9	autocrine|paracrine	0.510164622503036
LAMA2	ITGB1	autocrine|paracrine	0.509640582050047
COL1A1	ITGB1	autocrine|paracrine	0.509486534474845
FGF2	CD44	autocrine|paracrine	0.509288588666449
LAMB1	ITGA3	autocrine|paracrine	0.509164416182954
SEMA3D	NRP1	autocrine|paracrine	0.508728106213261
GPC3	LRP1	autocrine|paracrine	0.508355422880252
BMP7	ACVR2A	autocrine|paracrine	0.507839888621382
CALR	ITGA2B	autocrine|paracrine	0.507715370650963
GDF11	BMPR2	autocrine|paracrine	0.507527655704682
EGF	CAV1	autocrine|paracrine	0.505750845660508
GNAS	ADCY1	autocrine|paracrine	0.505624254091342
DLL3	NOTCH3	autocrine|paracrine	0.505158034289411
JAG1	NOTCH3	autocrine|paracrine	0.504969663469074
ANGPT1	ITGA5	autocrine|paracrine	0.504712307140569
DUSP18	ITGA2	autocrine|paracrine	0.503932037870057
HSP90B1	TLR2	autocrine|paracrine	0.503850373067076
VEGFB	TYRO3	autocrine|paracrine	0.503106200468567
GNAI2	UNC5B	autocrine|paracrine	0.502601379503314
COL9A2	ITGB1	autocrine|paracrine	0.50229654322285
TNFSF10	TNFRSF10B	autocrine|paracrine	0.5014592116593
FGF2	NRP1	autocrine|paracrine	0.501397617367666
LIF	LIFR	autocrine|paracrine	0.501319695040476
EFEMP2	AQP1	autocrine|paracrine	0.501310771731921
FARP2	PLXNA2	autocrine|paracrine	0.50101585156617
RGMB	BMPR1B	autocrine|paracrine	0.500452091304719
