malignant_cell	Endo	interaction.type	LRscore
ANGPT1	ITGA5	autocrine|paracrine	0.572571233742372
TNFSF10	TNFRSF10B	autocrine|paracrine	0.57234339048499
HSP90AA1	FGFR3	autocrine|paracrine	0.571994037387924
HLA-C	LILRB2	autocrine|paracrine	0.571921071696751
COL6A2	ITGA2	autocrine|paracrine	0.571389499962685
MLLT4	F11R	autocrine|paracrine	0.570395395466142
NLGN1	NRXN3	autocrine|paracrine	0.570016650090009
FGF1	FGFR1	autocrine|paracrine	0.569427335664421
LAMB3	ITGA6	autocrine|paracrine	0.568767225313087
COL4A5	CD93	autocrine|paracrine	0.568376074412441
TGFB3	ENG	autocrine|paracrine	0.568248981617338
DUSP18	ITGA3	autocrine|paracrine	0.568220247618888
LAMA5	BCAM	autocrine|paracrine	0.567639470933626
FN1	ITGB7	autocrine|paracrine	0.567499961190516
SEMA3E	PLXND1	autocrine|paracrine	0.565333191320851
IL8	SDC3	autocrine|paracrine	0.565241728876213
B2M	HFE	autocrine|paracrine	0.564353621443359
LAMA5	ITGB4	autocrine|paracrine	0.563939019456363
CAMP	IGF1R	autocrine|paracrine	0.563874440438561
GNAS	ADCY7	autocrine|paracrine	0.561445651865258
ANXA1	EGFR	autocrine|paracrine	0.560202684947697
ANGPT1	TIE1	autocrine|paracrine	0.559515077046582
MTMR4	SMAD3	autocrine|paracrine	0.559272131204001
TNF	TNFRSF1A	autocrine|paracrine	0.557785469478778
UBA52	EGFR	autocrine|paracrine	0.556154152568446
CD52	SIGLEC10	autocrine|paracrine	0.555599432209174
EFNA1	EPHB1	autocrine|paracrine	0.555579601311779
LRPAP1	LRP8	autocrine|paracrine	0.55475547686892
ADAM23	ITGA5	autocrine|paracrine	0.554164778281749
CALM1	EGFR	autocrine|paracrine	0.553441877288473
ICAM1	IL2RA	autocrine|paracrine	0.553048932418998
LUM	ITGB1	autocrine|paracrine	0.552707440192596
TGFB2	TGFBR2	autocrine|paracrine	0.552578701285203
VEGFA	ITGAV	autocrine|paracrine	0.552174681579501
LAMC2	ITGB1	autocrine|paracrine	0.550657629283238
EFNA5	EPHB1	autocrine|paracrine	0.550591305743937
LHB	RAMP3	autocrine|paracrine	0.549713245689285
L1CAM	ITGAV	autocrine|paracrine	0.549123625845817
LAMB3	ITGB4	autocrine|paracrine	0.548938309224135
CALM3	GP6	autocrine|paracrine	0.546178920108751
TNFSF14	TNFRSF6B	autocrine|paracrine	0.545699141390527
COL4A1	CD47	autocrine|paracrine	0.543269891142323
ADIPOQ	ADIPOR1	autocrine|paracrine	0.541539014436666
LAMA2	RPSA	autocrine|paracrine	0.541435955110538
GNAI2	ADCY1	autocrine|paracrine	0.540542583505451
LAMA1	ITGA2	autocrine|paracrine	0.539923666772911
B2M	KIR3DL1	autocrine|paracrine	0.539442475426968
FGF13	FGFR1	autocrine|paracrine	0.539160193512189
NCAM1	FGFR1	autocrine|paracrine	0.538827721789424
GNAI2	S1PR3	autocrine|paracrine	0.538808825984022
EFNA4	EPHA10	autocrine|paracrine	0.538757839085601
EGF	CAV1	autocrine|paracrine	0.537786717565572
SEMA3E	NRP1	autocrine|paracrine	0.537358389165758
COL4A5	CD47	autocrine|paracrine	0.536373220645032
F12	CD93	autocrine|paracrine	0.535902243617423
CDH1	ITGB7	autocrine|paracrine	0.532133400764408
ADAM12	ITGB1	autocrine|paracrine	0.531821632926968
BDNF	NGFRAP1	autocrine|paracrine	0.531745312498213
C3	IFITM1	autocrine|paracrine	0.530575298780305
CEACAM8	CEACAM1	autocrine|paracrine	0.529840903573482
COL18A1	ITGA3	autocrine|paracrine	0.529539012987526
TF	TFRC	autocrine|paracrine	0.528695238518225
FBN1	ITGB1	autocrine|paracrine	0.528389258453534
ICAM4	ITGAV	autocrine|paracrine	0.527342056299972
CALM1	KCNN4	autocrine|paracrine	0.527315028072572
EFNA5	EPHB2	autocrine|paracrine	0.527300995013625
IAPP	ADRB2	autocrine|paracrine	0.527095593134467
COL7A1	ITGB1	autocrine|paracrine	0.526861250039928
OLAH	MOG	autocrine|paracrine	0.526304278783309
FBN1	ITGA5	autocrine|paracrine	0.525720670180428
COL18A1	ITGB3	autocrine|paracrine	0.523580973781232
RTN4	TNFRSF19	autocrine|paracrine	0.523550889231725
SEMA6A	PLXNA4	autocrine|paracrine	0.522872770831853
IL18	IL18BP	autocrine|paracrine	0.521989488158673
HLA-A	KIR3DL1	autocrine|paracrine	0.521673684131711
NID1	COL13A1	autocrine|paracrine	0.521072780829637
CLCF1	IL6ST	autocrine|paracrine	0.519642542410704
PTHLH	RAMP2	autocrine|paracrine	0.519542822530344
VCAN	SELP	autocrine|paracrine	0.519341044753594
C3	CD81	autocrine|paracrine	0.517444073326206
CEACAM5	CEACAM1	autocrine|paracrine	0.517235407356548
TGFB3	ITGB1	autocrine|paracrine	0.516159445528201
EDIL3	ITGAV	autocrine|paracrine	0.515571253213506
HLA-B	KIR3DL1	autocrine|paracrine	0.515315526048973
LAMA1	SDC4	autocrine|paracrine	0.515256526655499
EFNA4	EPHA4	autocrine|paracrine	0.514939703853867
LAMA1	ITGA3	autocrine|paracrine	0.513578804732748
THBS2	ITGB3	autocrine|paracrine	0.512579667812858
SEMA3A	NRP2	autocrine|paracrine	0.51239119398182
PTGS2	ALOX5	autocrine|paracrine	0.512224603918706
COL3A1	ITGA2	autocrine|paracrine	0.511773334788388
MAPK1	FGFR2	autocrine|paracrine	0.511099201810212
WNT7B	FZD4	autocrine|paracrine	0.509489915404119
CALM2	KCNQ5	autocrine|paracrine	0.509307912123668
ANXA1	ADRA2A	autocrine|paracrine	0.507218807186112
HLA-C	KIR3DL1	autocrine|paracrine	0.507174161652083
CDH1	CDH2	autocrine|paracrine	0.506475348696942
NCAM1	PTPRA	autocrine|paracrine	0.504608682388753
GPC3	CD81	autocrine|paracrine	0.503656029103018
SEMA3A	NRP1	autocrine|paracrine	0.503456841769651
SELPLG	ESAM	autocrine|paracrine	0.502883171988012
CALM1	TRPC3	autocrine|paracrine	0.502858278229165
LAMA2	ITGB1	autocrine|paracrine	0.50203732650211
COL1A1	ITGB1	autocrine|paracrine	0.50188322491719
HSPG2	COL13A1	autocrine|paracrine	0.500385787455128
CD55	CR1	autocrine|paracrine	0.500301838737585
IGF1	INSR	autocrine|paracrine	0.500082704543311
THBS1	SCARB1	autocrine|paracrine	0.500013245055962
