CAF	NK	interaction.type	LRscore
PDGFC	FLT1	autocrine|paracrine	0.52952434538782
FN1	IL17RC	autocrine|paracrine	0.529139714742833
CDH1	ITGAE	autocrine|paracrine	0.528272390012214
ADAM12	SDC4	autocrine|paracrine	0.528044098489466
HSP90B1	TLR4	autocrine|paracrine	0.527848757418833
GPC3	IGF1R	autocrine|paracrine	0.527505301010246
LIN7C	ABCA1	autocrine|paracrine	0.527368532935453
IL6	IL6ST	autocrine|paracrine	0.527027513508295
SERPING1	LRP1	autocrine|paracrine	0.526940181750486
MAPK1	FGFR2	autocrine|paracrine	0.524758706652303
UBA52	EGFR	autocrine|paracrine	0.524506520800865
FGF5	FGFR1	autocrine|paracrine	0.524240364602717
SPP1	ITGA4	autocrine|paracrine	0.522168642120791
LTB	TNFRSF1A	autocrine|paracrine	0.521987442522684
CCL16	CCR1	autocrine|paracrine	0.521961198875029
FN1	CD79A	autocrine|paracrine	0.521547168575444
CTGF	LRP1	autocrine|paracrine	0.520330413263929
CXCL11	CXCR3	autocrine|paracrine	0.519483142653262
RGMB	BMPR2	autocrine|paracrine	0.519189289098142
FGB	ITGB2	autocrine|paracrine	0.518570601963245
GNB3	TGFBR1	autocrine|paracrine	0.518279990444583
COL1A2	ITGAV	autocrine|paracrine	0.517682352313697
CALM3	INSR	autocrine|paracrine	0.515830386499807
SELPLG	SELL	autocrine|paracrine	0.515770861351455
PDGFC	PDGFRB	autocrine|paracrine	0.514322442931856
COL1A1	ITGAV	autocrine|paracrine	0.514246038290676
GNAI2	IGF1R	autocrine|paracrine	0.512695791075318
LAMC2	ITGA6	autocrine|paracrine	0.51165375545739
THBS1	LRP1	autocrine|paracrine	0.510002902487814
IL18	IL18R1	autocrine|paracrine	0.509578172508005
FST	BMPR2	autocrine|paracrine	0.508233905749555
SPP1	S1PR1	autocrine|paracrine	0.507079318175443
INHBA	ACVR2A	autocrine|paracrine	0.505740087280137
C3	LRP1	autocrine|paracrine	0.505288200312176
COL4A3	ITGB1	autocrine|paracrine	0.504613787746413
COL4A3	CD47	autocrine|paracrine	0.504388332717168
NAMPT	INSR	autocrine|paracrine	0.503423669645014
COL6A1	ITGA1	autocrine|paracrine	0.502337891988059
RGMB	NEO1	autocrine|paracrine	0.501642825661638
SELPLG	ITGAM	autocrine|paracrine	0.500076989468025
