Macro	Endo	interaction.type	LRscore
PROS1	AXL	autocrine|paracrine	0.511423712564779
TNFSF15	TNFRSF25	autocrine|paracrine	0.511201655865227
GNAI2	OPRM1	autocrine|paracrine	0.510690221099182
IL6	IL6R	autocrine|paracrine	0.510241032860467
DSPP	ITGB1	autocrine|paracrine	0.510085975354644
CALM3	MYLK2	autocrine|paracrine	0.509863770123632
CCL5	GPR75	autocrine|paracrine	0.509824512229836
BMP8B	BMPR2	autocrine|paracrine	0.509711794348528
COL4A1	ITGB1	autocrine|paracrine	0.509030973776681
CALM2	KCNQ5	autocrine|paracrine	0.508103363106514
EFNA4	EPHA10	autocrine|paracrine	0.508056926457546
FN1	ITGB7	autocrine|paracrine	0.507757333255149
GNAI2	ADCY7	autocrine|paracrine	0.507678044319675
ICAM2	ITGAL	autocrine|paracrine	0.507419921264408
RTN4	TNFRSF19	autocrine|paracrine	0.505711256585844
TLN1	ITGB5	autocrine|paracrine	0.505394685544344
ITGB3BP	ITGB3	autocrine|paracrine	0.505377020069243
CCL16	HRH4	autocrine|paracrine	0.505309753022172
LRPAP1	LRP8	autocrine|paracrine	0.505262120370793
IRAK4	TLR7	autocrine|paracrine	0.504647665496886
SEMA4A	PLXNB1	autocrine|paracrine	0.503883078042443
ICAM1	ITGAX	autocrine|paracrine	0.503141920103994
FGF5	FGFR2	autocrine|paracrine	0.500109216722099
