CAF	T_cell	interaction.type	LRscore
MFI2	TFRC	autocrine|paracrine	0.521797042302589
SPP1	ITGB1	autocrine|paracrine	0.521120765350753
TGFB2	TGFBR2	autocrine|paracrine	0.519666920178238
CD55	CR1	autocrine|paracrine	0.519526879070073
GNAI2	CXCR2	autocrine|paracrine	0.51918459344347
CALM1	MYLK	autocrine|paracrine	0.518279171481341
LAMC1	ITGAV	autocrine|paracrine	0.518269339947863
LRPAP1	LRP8	autocrine|paracrine	0.517850904640073
WNT2	FZD3	autocrine|paracrine	0.517583043813287
HLA-B	LILRB2	autocrine|paracrine	0.516816150011749
NID1	ITGAV	autocrine|paracrine	0.516103746588774
UBC	ERBB2	autocrine|paracrine	0.516013080000839
CALM1	PDE1B	autocrine|paracrine	0.516010234545264
FGF1	FGFR2	autocrine|paracrine	0.515207153371076
PLG	ITGB2	autocrine|paracrine	0.514288072919108
UBB	ERBB2	autocrine|paracrine	0.512251039202856
LAMA4	ITGAV	autocrine|paracrine	0.511732021675633
HLA-C	LILRB2	autocrine|paracrine	0.511655882215295
COL4A1	ITGB8	autocrine|paracrine	0.511054807937421
HLA-G	LILRB1	autocrine|paracrine	0.510420146805988
HLA-A	LILRB2	autocrine|paracrine	0.510197339955464
RPS27A	ERBB2	autocrine|paracrine	0.510127870558737
FN1	ITGA3	autocrine|paracrine	0.509949717992056
CALR	ITGA3	autocrine|paracrine	0.508769198264766
INHBA	ACVR1	autocrine|paracrine	0.50875996540475
ADAM9	ITGAV	autocrine|paracrine	0.508458204415262
ADAM15	ITGA5	autocrine|paracrine	0.508430714734158
SEMA3C	NRP1	autocrine|paracrine	0.508090547001581
CALM2	KCNQ5	autocrine|paracrine	0.507974014224899
C3	C5AR2	autocrine|paracrine	0.507330682614155
CFH	ITGAM	autocrine|paracrine	0.507314464491304
PLTP	ABCA1	autocrine|paracrine	0.505978592232271
HP	ITGB2	autocrine|paracrine	0.50533338333756
MMP9	ITGB2	autocrine|paracrine	0.505203630495965
UBC	TLR4	autocrine|paracrine	0.503035721926618
COL1A1	TMPRSS6	autocrine|paracrine	0.502704563178829
MMP9	CD44	autocrine|paracrine	0.50228629831228
SFRP1	FZD2	autocrine|paracrine	0.501616368710648
CALM2	KCNQ3	autocrine|paracrine	0.500116814583
