Macro	CAF	interaction.type	LRscore
OLAH	MOG	autocrine|paracrine	0.540615038196105
HLA-E	KLRC2	autocrine|paracrine	0.540463855626283
CALM3	PDE1B	autocrine|paracrine	0.540427350247085
GNAI2	PTPRU	autocrine|paracrine	0.539097985375162
IL11	IL11RA	autocrine|paracrine	0.538838115575932
MDK	ITGA4	autocrine|paracrine	0.53875633289623
NRG1	GPC1	autocrine|paracrine	0.538469678393788
FN1	C5AR1	autocrine|paracrine	0.536804541229
HLA-G	LILRB1	autocrine|paracrine	0.536148449345308
SPTAN1	PTPRA	autocrine|paracrine	0.535353660904148
FARP2	PLXNA1	autocrine|paracrine	0.535249047386181
VEGFA	ITGB3	autocrine|paracrine	0.534953862232088
C1QA	CD93	autocrine|paracrine	0.533647600341925
IL16	CD4	autocrine|paracrine	0.532812615556868
TGFB1	ITGAV	autocrine|paracrine	0.532739523483885
TNFSF13B	TNFRSF13B	autocrine|paracrine	0.531782509355729
TDGF1	GPC1	autocrine|paracrine	0.531564578511689
PLAU	ITGA3	autocrine|paracrine	0.53151630631237
HGF	MET	autocrine|paracrine	0.530968982742278
IL8	CXCR2	autocrine|paracrine	0.530679427048761
TNC	ITGB1	autocrine|paracrine	0.528465689495127
AREG	ERBB3	autocrine|paracrine	0.52808444766671
SEMA4A	PLXNB1	autocrine|paracrine	0.527568352371141
CCL18	C14orf1	autocrine|paracrine	0.527527817284619
C3	ITGB2	autocrine|paracrine	0.526546169171117
LAMB3	CD151	autocrine|paracrine	0.526187325604409
ALOX5AP	ALOX5	autocrine|paracrine	0.52475957409462
UBC	LRP2	autocrine|paracrine	0.521261423277
DUSP18	ITGA7	autocrine|paracrine	0.519517535702266
COL18A1	ITGA5	autocrine|paracrine	0.51932710542468
CALM2	GRM7	autocrine|paracrine	0.518425004233751
DSPP	ITGB1	autocrine|paracrine	0.517684403263733
CALR	ITGA2B	autocrine|paracrine	0.516833435828477
EFNA4	EPHA10	autocrine|paracrine	0.516654219257497
COL4A1	ITGB1	autocrine|paracrine	0.516630258701595
CCL5	CXCR3	autocrine|paracrine	0.516400793080533
BMP7	ACVR2A	autocrine|paracrine	0.516281017596214
GNAI2	CXCR2	autocrine|paracrine	0.516268696402104
LTBP3	ITGB5	autocrine|paracrine	0.515903687680234
CYR61	CAV1	autocrine|paracrine	0.515879469234375
CTF1	IL6ST	autocrine|paracrine	0.514839406173118
MMP12	PLAUR	autocrine|paracrine	0.513880328214553
IL16	KCNJ15	autocrine|paracrine	0.512961962651091
CXCL2	CXCR2	autocrine|paracrine	0.51239753191274
VEGFA	NRP2	autocrine|paracrine	0.51149310687536
ITGB3BP	ITGB3	autocrine|paracrine	0.51041347582818
COL1A1	ITGA5	autocrine|paracrine	0.510096602871068
SEMA3E	NRP1	autocrine|paracrine	0.509346920782757
IRAK4	TLR7	autocrine|paracrine	0.508344724793031
CALM1	KCNQ1	autocrine|paracrine	0.506892213482107
WNT7B	FZD4	autocrine|paracrine	0.506805515470267
DUSP18	ITGA2	autocrine|paracrine	0.506670906910276
PIGF	FLT1	autocrine|paracrine	0.506130951425041
NID1	ITGAV	autocrine|paracrine	0.505659629294775
CDH1	EGFR	autocrine|paracrine	0.505306371198594
HRAS	SDC2	autocrine|paracrine	0.504577071393306
RPS27A	LRP2	autocrine|paracrine	0.503368850250364
SYK	FCGR2A	autocrine|paracrine	0.502868707641304
C1orf112	PLSCR4	autocrine|paracrine	0.502790185591854
P4HB	GPR162	autocrine|paracrine	0.502690449028369
PLAU	ITGB2	autocrine|paracrine	0.501257722306126
LGALS8	ITGA3	autocrine|paracrine	0.501166753131614
ST6GAL1	CD22	autocrine|paracrine	0.500362684456296
