CAF	Macro	interaction.type	LRscore
C4A	CR1	autocrine|paracrine	0.60360308987222
TNFSF10	TNFRSF10D	autocrine|paracrine	0.602001384992747
B2M	CD3D	autocrine|paracrine	0.601401727994246
SEMA7A	PLXNC1	autocrine|paracrine	0.601379352722851
LTBP3	ITGB5	autocrine|paracrine	0.600433881107619
IL15	IL15RA	autocrine|paracrine	0.599613643246969
INHBA	ACVR1B	autocrine|paracrine	0.598773869153582
FGF5	FGFR2	autocrine|paracrine	0.598481876382582
ICAM4	ITGA4	autocrine|paracrine	0.598413265898938
P4HB	GPR162	autocrine|paracrine	0.598392949938812
VEGFC	NRP2	autocrine|paracrine	0.597802014384843
TNFSF10	TNFRSF10C	autocrine|paracrine	0.596898830668841
ICAM4	ITGAL	autocrine|paracrine	0.596633040306767
PSEN1	NOTCH1	autocrine|paracrine	0.596488631014919
QDPR	DYSF	autocrine|paracrine	0.596414465059632
APP	CAV1	autocrine|paracrine	0.595130311576714
LAMA1	ITGB1	autocrine|paracrine	0.594639916023775
ADIPOQ	ADIPOR1	autocrine|paracrine	0.594572951662698
COL4A5	ITGB1	autocrine|paracrine	0.594370824589345
LAMC2	CD151	autocrine|paracrine	0.593806918768437
LTB	LTBR	autocrine|paracrine	0.590299871022266
FN1	ITGA2	autocrine|paracrine	0.590288453408034
DLL1	NOTCH2	autocrine|paracrine	0.58978898823468
SEMA3B	NRP1	autocrine|paracrine	0.58871577383858
FGF2	SDC3	autocrine|paracrine	0.587876133512735
CLCF1	IL6ST	autocrine|paracrine	0.586535024543556
COL4A4	CD93	autocrine|paracrine	0.586270695952339
EFNA5	EPHB2	autocrine|paracrine	0.58495151119158
CALM1	KCNQ1	autocrine|paracrine	0.584693865937222
CD52	SIGLEC10	autocrine|paracrine	0.584131562097089
VTN	ITGA5	autocrine|paracrine	0.583772691999751
PECAM1	CD38	autocrine|paracrine	0.581112271698708
CTHRC1	FZD5	autocrine|paracrine	0.580726375400486
FN1	ITGA6	autocrine|paracrine	0.580554994875337
LTB	TNFRSF1A	autocrine|paracrine	0.579836495481677
COL9A2	ITGB1	autocrine|paracrine	0.578734081972798
COL6A1	ITGA2	autocrine|paracrine	0.575476788169354
COL4A5	CD47	autocrine|paracrine	0.57487457607646
CD36	TLR6	autocrine|paracrine	0.574579140338047
RELN	ITGB1	autocrine|paracrine	0.57457686698819
SEMA4A	PLXNB2	autocrine|paracrine	0.574534395041949
FN1	FLT4	autocrine|paracrine	0.573879097440723
C3	C5AR2	autocrine|paracrine	0.573079445282199
DUSP18	CD151	autocrine|paracrine	0.571070609645218
PLG	ITGB2	autocrine|paracrine	0.57072960908464
COL6A3	ITGA2	autocrine|paracrine	0.570351557614133
TNFSF13	TNFRSF14	autocrine|paracrine	0.56747095818713
PGF	FLT1	autocrine|paracrine	0.566936615505409
LGALS3BP	VANGL1	autocrine|paracrine	0.566896913319851
COL6A1	ITGA6	autocrine|paracrine	0.565650372478276
F10	F3	autocrine|paracrine	0.563620496346188
TGS1	RXRA	autocrine|paracrine	0.563474925687108
PTHLH	ADRB2	autocrine|paracrine	0.563003189760674
INHBA	ACVR2A	autocrine|paracrine	0.562219093166479
NGF	MAGED1	autocrine|paracrine	0.561947598297459
HP	ITGB2	autocrine|paracrine	0.56192913114223
MMP9	ITGB2	autocrine|paracrine	0.561801350529725
BTLA	TNFRSF14	autocrine|paracrine	0.561437044149624
BMP4	BMPR2	autocrine|paracrine	0.560309851758532
SEMA3A	NRP2	autocrine|paracrine	0.559782310604209
COL5A2	DDR1	autocrine|paracrine	0.558672373620458
IL15	IL2RA	autocrine|paracrine	0.557373180671172
COL6A2	ITGA2	autocrine|paracrine	0.556658501173713
HLA-B	CD3D	autocrine|paracrine	0.55614751057606
INHBA	ACVR1	autocrine|paracrine	0.555676837894552
THBS1	ITGA6	autocrine|paracrine	0.552539214767322
F8	LDLR	autocrine|paracrine	0.552198728809252
SPP1	ITGB1	autocrine|paracrine	0.551276855784547
PVR	CD226	autocrine|paracrine	0.551249251931465
HLA-C	CD3D	autocrine|paracrine	0.551042395542162
CD1D	LILRB2	autocrine|paracrine	0.550569241313703
NOV	NOTCH1	autocrine|paracrine	0.550336917305005
GNAI2	CXCR2	autocrine|paracrine	0.550100292282524
HLA-A	CD3D	autocrine|paracrine	0.549597936302099
LAMA3	SDC2	autocrine|paracrine	0.54912786037294
TNFSF10	TNFRSF10A	autocrine|paracrine	0.54874126125131
NOV	PLXNA1	autocrine|paracrine	0.548618239541792
ADAM28	ITGA4	autocrine|paracrine	0.54750131638049
SEMA4F	NRP2	autocrine|paracrine	0.547449680509311
CD177	PECAM1	autocrine|paracrine	0.546386221418551
BMP8A	BMPR2	autocrine|paracrine	0.54615038880164
IL6	F3	autocrine|paracrine	0.544289252318059
VEGFA	NRP2	autocrine|paracrine	0.544067295739998
MFI2	TFRC	autocrine|paracrine	0.543297121258741
COL18A1	ITGB5	autocrine|paracrine	0.543198927837232
SEMA4C	PLXNB2	autocrine|paracrine	0.542570984265067
SELPLG	ITGAM	autocrine|paracrine	0.541794230514155
IAPP	ADRB2	autocrine|paracrine	0.541398697437864
C1QB	LRP1	autocrine|paracrine	0.540841785568639
THBS2	ITGA6	autocrine|paracrine	0.539585414768664
FGF2	SDC2	autocrine|paracrine	0.536869331029699
FGB	ITGB2	autocrine|paracrine	0.536291694461387
CALM3	PDE1B	autocrine|paracrine	0.536217160861019
CALM1	OPRM1	autocrine|paracrine	0.535802309437376
COL4A5	CD93	autocrine|paracrine	0.535162162449295
C4B	CR1	autocrine|paracrine	0.531898468222523
TNFSF13	TNFRSF1A	autocrine|paracrine	0.531671467095752
LTB	CD40	autocrine|paracrine	0.530143669602563
PLG	PLAUR	autocrine|paracrine	0.529146362186623
SELPLG	SELL	autocrine|paracrine	0.529094644918614
RGMA	BMPR2	autocrine|paracrine	0.52892703559792
VEGFC	FLT1	autocrine|paracrine	0.528844849103054
FGF2	SDC4	autocrine|paracrine	0.527734654141357
SEMA4A	PLXND1	autocrine|paracrine	0.526906400419526
SEMA4A	PLXND1	autocrine|paracrine	0.526906400419526
ITGB3BP	ITGB5	autocrine|paracrine	0.523722326026537
EDIL3	ITGAV	autocrine|paracrine	0.520885349489096
GNAI2	S1PR3	autocrine|paracrine	0.520842788117813
EFNA5	EPHB6	autocrine|paracrine	0.520544542253397
WNT5A	LDLR	autocrine|paracrine	0.520543298500434
CD14	TLR6	autocrine|paracrine	0.518749323907554
PIP	CD4	autocrine|paracrine	0.517534133407732
GNAI2	EDNRB	autocrine|paracrine	0.516956080951123
PDGFC	FLT1	autocrine|paracrine	0.515889842816598
ICAM5	ITGB2	autocrine|paracrine	0.512021533383383
OLAH	MOG	autocrine|paracrine	0.511750202167618
MFGE8	PDGFRB	autocrine|paracrine	0.510970420347127
ALOX5AP	ALOX5	autocrine|paracrine	0.50899799709045
INHBA	SMAD3	autocrine|paracrine	0.508855305098928
TGFB1	TGFBR1	autocrine|paracrine	0.508703928842153
ZG16B	CXCR4	autocrine|paracrine	0.507599631795244
TGFB2	TGFBR1	autocrine|paracrine	0.50587410028712
IL11	IL6ST	autocrine|paracrine	0.505234517069604
CALM3	KCNQ1	autocrine|paracrine	0.504763281730772
EFNA4	EPHA10	autocrine|paracrine	0.504603883811311
MMP9	CD44	autocrine|paracrine	0.504382529420791
CXCL2	CXCR2	autocrine|paracrine	0.503404852385075
GNAS	ADCY9	autocrine|paracrine	0.503067155014259
COL1A2	ITGB3	autocrine|paracrine	0.502908805294398
FGF7	FGFR1	autocrine|paracrine	0.502665414591306
SPP1	ITGA4	autocrine|paracrine	0.502650311024737
VEGFC	LYVE1	autocrine|paracrine	0.502070341137072
BDNF	NGFRAP1	autocrine|paracrine	0.501622960836669
SEMA5A	MET	autocrine|paracrine	0.500386493596309
