Endo	Macro	interaction.type	LRscore
OLAH	MOG	autocrine|paracrine	0.534708887578074
GNAI2	S1PR1	autocrine|paracrine	0.534567760547378
CEACAM5	CD1D	autocrine|paracrine	0.53427346029373
BMP2	BMPR2	autocrine|paracrine	0.533011793900847
F10	ITGB2	autocrine|paracrine	0.532518603014531
LAMB1	ITGA2	autocrine|paracrine	0.531535506139487
LIPC	LRP1	autocrine|paracrine	0.530395346697776
THBS1	ITGA6	autocrine|paracrine	0.53015700672191
LAMB1	ITGA7	autocrine|paracrine	0.528727981833419
FN1	FLT4	autocrine|paracrine	0.528527804884599
SEMA6D	PLXNA1	autocrine|paracrine	0.528341805782452
VCAM1	ITGB7	autocrine|paracrine	0.526802107334605
TNFSF13	TNFRSF1A	autocrine|paracrine	0.526649895956014
SELPLG	ITGAM	autocrine|paracrine	0.526445478362141
PLAU	LRP1	autocrine|paracrine	0.525631732132209
ALOX5AP	ALOX5	autocrine|paracrine	0.52369722041465
PVR	CD96	autocrine|paracrine	0.5232008380228
PVR	CD96	autocrine|paracrine	0.5232008380228
CD47	SIRPG	autocrine|paracrine	0.521953881051849
LAMB1	ITGA6	autocrine|paracrine	0.521537625691622
QDPR	DYSF	autocrine|paracrine	0.52147574904017
MLLT4	EPHB2	autocrine|paracrine	0.52114493586051
PLAU	ITGAM	autocrine|paracrine	0.521039936365868
WNT5A	ADRB2	autocrine|paracrine	0.520046460550151
ICAM3	ITGB2	autocrine|paracrine	0.519235499692037
C3	ITGB2	autocrine|paracrine	0.518135010055954
CCL16	HRH4	autocrine|paracrine	0.518096809646239
JAG1	NOTCH4	autocrine|paracrine	0.517658858142611
SEMA3F	NRP2	autocrine|paracrine	0.517628427262574
LAMA4	ITGA6	autocrine|paracrine	0.515769857522372
SELPLG	SELL	autocrine|paracrine	0.513702318140561
COL16A1	ITGB1	autocrine|paracrine	0.512888124418048
SPP1	ITGA4	autocrine|paracrine	0.511763502625767
SEMA3G	NRP2	autocrine|paracrine	0.510538300808566
HLA-A	ERBB2	autocrine|paracrine	0.509767019576307
CCL21	CCR7	autocrine|paracrine	0.5088409564449
ZP3	MERTK	autocrine|paracrine	0.508521833327292
ADAM12	ITGB1	autocrine|paracrine	0.507265531428144
HRAS	SDC2	autocrine|paracrine	0.507121236822485
CALM3	GP6	autocrine|paracrine	0.507106276157657
IL6	IL6R	autocrine|paracrine	0.506954317364004
GNAI2	IGF1R	autocrine|paracrine	0.50618816803647
TF	TFRC	autocrine|paracrine	0.505926469005322
EDN1	EDNRB	autocrine|paracrine	0.505878887487585
SAA1	SCARB1	autocrine|paracrine	0.503344887717888
SEMA3A	PLXNA3	autocrine|paracrine	0.501795923429262
GNAS	ADCY1	autocrine|paracrine	0.501540332099464
LAMA3	SDC2	autocrine|paracrine	0.501094953549181
VEGFB	FLT1	autocrine|paracrine	0.500181166793573
